Time,Time Code,Country Name,Country Code,Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Government expenditure on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Proportion of people living below 50 percent of median income (%) [SI.DST.50MD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],"Population, total [SP.POP.TOTL]",GDP (current US$) [NY.GDP.MKTP.CD]
2018,YR2018,"Congo, Dem. Rep.",COD,3.24127173,17.87852287,528.256019777898,..,59.942,..,5.82112109969025,0.364528745412826,18.996260395512,90047644,47568210009.8172
2018,YR2018,"Congo, Rep.",COG,1.8976357,47.67589569,2694.43413191427,2.77167010307312,64.053,..,-2.30431780125842,0.417835533618927,48.0747264857321,5483118,14773900288.5135
2018,YR2018,Costa Rica,CRI,7.28587723,902.22119141,12590.2493781614,6.76991987228394,79.484,19.3,2.6159044043379,0.603258788585663,85.4370603934414,4957818,62420164991.5374
2018,YR2018,Cote d'Ivoire,CIV,3.0916779,70.97071075,2130.86619381144,3.21164989471436,58.849,12,4.84314605889178,0.369968354701996,20.2778104505103,27464173,58522477786.6889
2018,YR2018,Croatia,HRV,6.75,1025,15460.4183295843,3.91209006309509,78.0707317073171,11.5,2.90468149344008,0.729365646839142,..,3988775,61668130122.5878
2018,YR2018,Cuba,CUB,11.0184288,973.13745117,8911.46205964193,..,77.496,..,2.24794854086232,..,89.8619127419855,11227118,100050036096.123
2018,YR2018,Curacao,CUW,..,..,19119.1243941688,..,..,..,-2.10411133101029,..,..,159336,3046364804.46927
2018,YR2018,Cyprus,CYP,6.83,2021,29599.986328125,5.0253529548645,81.382,7.5,6.27166730438427,0.754617035388947,..,1270737,25754001367.5448
2018,YR2018,Czechia,CZE,7.47048092,1753.19897461,23705.9329811299,4.26605987548828,79.0292682926829,4.9,2.83030589412112,0.764516711235046,..,10629928,251992360762.236
2018,YR2018,Denmark,DNK,10.1,6233,61324.7665045565,7.29690980911255,80.9536585365854,6.6,1.86000748885226,0.770831823348999,..,5793636,355293374912.393
2018,YR2018,Djibouti,DJI,2.33968735,64.47797394,2718.0853229414,3.75143003463745,63.038,..,4.7744168883374,..,..,1071882,2913466732.12507
2018,YR2018,Dominica,DMA,6.18495989,484.5222168,8137.56520624242,5.15360450744629,73.59,..,3.54758441831531,0.551737248897552,..,68174,554770370.37037
2018,YR2018,Dominican Republic,DOM,4.12601566,327.90109253,7934.98141208525,3.91821074485779,73.232,14.2,6.98252758458058,0.506880283355713,50.0073403131818,10782053,85555390139.118
2018,YR2018,Ecuador,ECU,7.82609653,494.71490479,6303.91892523596,4.62145519256592,77.094,19.3,1.044295546927,0.596219539642334,87.1283478110848,17049547,107478962000
2018,YR2018,"Egypt, Arab Rep.",EGY,4.74892998,120.22325897,2484.70315630508,..,71.367,..,5.3311086189448,0.492512345314026,89.8269190815113,105682094,262588632526.73
2018,YR2018,El Salvador,SLV,8.322752,345.05181885,4183.54620971358,3.60575008392334,72.555,15.3,2.4124442237792,0.544985711574554,90.6995792106616,6219807,26020850000
2018,YR2018,Equatorial Guinea,GNQ,2.85223937,248.69200134,8102.47084834031,..,61.191,..,-6.23654406734575,..,..,1616422,13097012133.6159
2018,YR2018,Eritrea,ERI,4.12701797,24.02440262,..,..,67.067,..,..,..,..,3192760,..
2018,YR2018,Estonia,EST,6.6912818,1553.43347168,23618.1361254581,5.23997020721436,78.2439024390244,9.9,3.69969444001093,0.774125277996063,..,1321977,31222632740.7247
2018,YR2018,Ethiopia,ETH,3.30371761,23.84538269,747.968143637014,5.22011184692383,65.412,..,6.81614779681703,0.384100586175919,8.02888386359803,112664152,84269196625.8784
2018,YR2018,Faroe Islands,FRO,..,..,62524.0387361638,..,82.4951219512195,..,2.76370952267429,..,..,50998,3188600927.46688
2018,YR2018,Fiji,FJI,4.10572624,249.3664856,6085.41979209299,4.79706048965454,67.81,..,3.81235097047221,..,86.3108143929781,917180,5581425324.91185
2018,YR2018,Finland,FIN,9.05,4522,49654.2497035329,6.27557992935181,81.7341463414634,6.8,1.19297772988504,0.814484000205994,..,5515525,273869255596.078
2018,YR2018,France,FRA,11.20798969,4666.97998047,41418.1766484844,5.40716981887817,82.6756097560976,10,1.64590872932709,0.755960285663605,..,67158348,2781576320884.39
2018,YR2018,French Polynesia,PYF,..,..,21925.616043938,..,82.783,..,1.83202822787646,..,..,279815,6135116253.33452
2018,YR2018,Gabon,GAB,2.74500418,211.22572327,7624.2775233771,3.07154297828674,66.306,..,0.83791658082157,0.456387877464294,..,2212318,16867326401.9626
2018,YR2018,"Gambia, The",GMB,3.34384227,22.84936142,696.219806960615,2.36544394493103,63.04,..,7.23489033258579,0.403292864561081,12.9015935647382,2399632,1670671327.81651
